(16, 121)
(29, 39)
(37, 38)
(41, 36)
(44, 37)
(44, 38)
(45, 39)
(49, 38)
(52, 38)
(55, 38)
(120, 45)
(123, 41)
(127, 40)
(130, 40)
(134, 37)
(135, 37)
(137, 37)
(140, 38)
(142, 38)
(142, 39)
(144, 38)
(148, 39)
(153, 37)
(154, 37)
(157, 38)
(160, 40)
(161, 39)
(167, 40)
(160, 45)
(171, 38)
(176, 38)
(178, 39)
(179, 40)
(182, 39)
(186, 40)
(188, 39)
(194, 38)
(197, 38)
(199, 40)
(201, 40)
(204, 41)
(209, 44)
(212, 44)
(214, 45)
(217, 45)
(221, 41)
(222, 45)
(231, 40)
(232, 40)
(234, 40)
(236, 41)
(237, 45)
(240, 41)
(243, 45)
(249, 47)
(252, 47)
(255, 45)
(258, 46)
(261, 45)
(263, 46)
(272, 39)
(270, 40)
(267, 39)
(266, 40)
(263, 40)
(262, 40)
(259, 41)
(257, 40)
(255, 40)
(251, 44)
(250, 44)
(249, 44)
(243, 45)
(241, 45)
(239, 44)
(236, 41)
(235, 41)
(234, 41)
(231, 41)
(229, 41)
(228, 40)
(224, 39)
(222, 39)
(217, 38)
(216, 39)
(214, 39)
(212, 39)
(209, 40)
(204, 40)
(200, 40)
(198, 41)
(195, 38)
(192, 39)
(186, 38)
(181, 39)
(177, 39)
(175, 38)
(171, 38)
(171, 38)
(168, 39)
(166, 38)
(160, 39)
(157, 39)
(156, 112)
(154, 112)
(147, 44)
(146, 46)
(141, 40)
(141, 45)
(135, 39)
(139, 45)
(133, 38)
(131, 37)
(127, 37)
(122, 37)
(119, 37)
(116, 37)
(112, 37)
(108, 38)
(73, 37)
(63, 38)
(60, 38)
(57, 39)
(53, 37)
(49, 37)
(42, 38)
(40, 38)
(39, 117)
(34, 38)
(40, 97)
(30, 120)
(26, 39)
(31, 122)
(28, 122)
(22, 39)
(317, 135)
(28, 39)
(34, 39)
(36, 39)
(272, 49)
(319, 132)
(270, 48)
(319, 131)
(270, 48)
(43, 39)
(319, 129)
(268, 47)
(267, 47)
(265, 49)
(52, 38)
(263, 49)
(261, 49)
(259, 50)
(255, 50)
(253, 51)
(72, 40)
(251, 50)
(250, 51)
(248, 50)
(247, 50)
(82, 38)
(245, 50)
(243, 49)
(241, 49)
(237, 49)
(234, 49)
(233, 49)
(101, 38)
(231, 49)
(229, 48)
(228, 48)
(226, 49)
(223, 49)
(119, 40)
(220, 49)
(121, 40)
(216, 50)
(124, 40)
(212, 50)
(129, 40)
(208, 49)
(133, 37)
(135, 37)
(207, 50)
(204, 50)
(138, 37)
(140, 38)
(198, 48)
(196, 49)
(142, 38)
(194, 49)
(143, 37)
(192, 48)
(147, 38)
(190, 47)
(152, 35)
(153, 33)
(189, 47)
(157, 35)
(159, 35)
(163, 34)
(173, 34)
(165, 36)
(172, 37)
(172, 39)
(174, 39)
(165, 48)
(180, 35)
(160, 48)
(157, 48)
(155, 47)
(195, 36)
(150, 49)
(146, 49)
(197, 38)
(145, 50)
(197, 38)
(141, 50)
(138, 49)
(204, 39)
(136, 49)
(133, 49)
(210, 38)
(215, 39)
(132, 50)
(129, 49)
(216, 40)
(125, 49)
(217, 40)
(122, 51)
(219, 40)
(117, 51)
(222, 41)
(114, 50)
(228, 39)
(111, 51)
(232, 39)
(107, 51)
(235, 40)
(101, 50)
(235, 40)
(99, 50)
(236, 40)
(97, 49)
(239, 40)
(243, 40)
(92, 51)
(90, 49)
(247, 38)
(85, 49)
(249, 37)
(80, 50)
(254, 39)
(77, 48)
(255, 39)
(76, 47)
(258, 39)
(73, 50)
(263, 40)
(258, 46)
(69, 50)
(262, 45)
(65, 50)
(268, 39)
(62, 50)
(272, 39)
(58, 51)
(274, 40)
(54, 52)
(275, 40)
(49, 52)
(44, 52)
(42, 52)
(39, 51)
(36, 52)
(31, 52)
(27, 50)
(22, 50)
(7, 50)
(5, 50)
